index,image_url
1,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQHe3msaH/full/max/0/default.jpg
2,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQHkbJhiZ/full/max/0/default.jpg
3,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQHs8qXrq/full/max/0/default.jpg
4,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQHygNN17/full/max/0/default.jpg
5,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQJ6DuC9P/full/max/0/default.jpg
6,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQJCmS2Hf/full/max/0/default.jpg
7,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQJKJxrRw/full/max/0/default.jpg
8,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQJRrVgaD/full/max/0/default.jpg
9,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQJYQ2WiV/full/max/0/default.jpg
10,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQnQgKXxd/full/max/0/default.jpg
11,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQnXDrN6u/full/max/0/default.jpg
12,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQndmPCFB/full/max/0/default.jpg
13,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQnkJv2PT/full/max/0/default.jpg
14,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQnrrSrXj/full/max/0/default.jpg
15,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQnyPygg1/full/max/0/default.jpg
16,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQo5wWWpH/full/max/0/default.jpg
17,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQoCV3LxZ/full/max/0/default.jpg
18,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQoK2aB6q/full/max/0/default.jpg
19,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kQoRa71F7/full/max/0/default.jpg
20,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHHrQ2VF/full/max/0/default.jpg
21,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHQPvrdX/full/max/0/default.jpg
22,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHWwTgmo/full/max/0/default.jpg
23,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHdUzWv5/full/max/0/default.jpg
24,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHk2XM4M/full/max/0/default.jpg
25,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHra4BCd/full/max/0/default.jpg
26,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRHy7b1Lu/full/max/0/default.jpg
27,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRJ5f7qVB/full/max/0/default.jpg
28,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRJCCefdT/full/max/0/default.jpg
29,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRJJkBVmj/full/max/0/default.jpg
30,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnB2UX1s/full/max/0/default.jpg
31,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnHa1MA9/full/max/0/default.jpg
32,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnQ7YBJR/full/max/0/default.jpg
33,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnWf51Sh/full/max/0/default.jpg
34,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRndCbqay/full/max/0/default.jpg
35,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnjk8fjF/full/max/0/default.jpg
36,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnrHfVsX/full/max/0/default.jpg
37,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRnxqCL1o/full/max/0/default.jpg
38,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRo5NjAA5/full/max/0/default.jpg
39,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kRoBvFzJM/full/max/0/default.jpg
40,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSH4CZ1YV/full/max/0/default.jpg
41,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHAk5qgm/full/max/0/default.jpg
42,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHHHcfq3/full/max/0/default.jpg
43,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHPq9VyK/full/max/0/default.jpg
44,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHWNgL7b/full/max/0/default.jpg
45,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHcvDAFs/full/max/0/default.jpg
46,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHjTjzQ9/full/max/0/default.jpg
47,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHr1GpYR/full/max/0/default.jpg
48,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSHxYoegh/full/max/0/default.jpg
49,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSJ56LUpy/full/max/0/default.jpg
50,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSmwNdW57/full/max/0/default.jpg
51,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSn3vALDP/full/max/0/default.jpg
